Date,Tm,Opp,Quarter,Time,Down,Yards,Location,Score,Detail,Yds,EPB,EPA,Diff
2019-09-30,Bengals,Steelers,1,8:25,4,5,PIT 10,0-3,Randy Bullock 28 yard field goal good,0,2.81,3,0.19
2019-09-30,Steelers,Bengals,2,1:01,4,7,CIN 11,10-3,Chris Boswell 29 yard field goal good,0,2.7,3,0.3
2019-09-30,Steelers,Bengals,4,5:56,4,8,CIN 31,27-3,Chris Boswell 49 yard field goal good,0,1.32,3,1.68
2019-09-29,Chargers,Dolphins,1,10:17,4,9,MIA 26,0-3,Ty Long 44 yard field goal good,0,1.74,3,1.26
2019-09-29,Cardinals,Seahawks,1,9:48,4,4,SEA 26,0-0,Zane Gonzalez 43 yard field goal no good,0,1.81,-1.14,-2.95
2019-09-29,Lions,Chiefs,1,10:09,4,7,KAN 7,3-0,Matt Prater 25 yard field goal good,0,2.97,3,0.03
2019-09-29,Chiefs,Lions,1,5:43,4,10,DET 18,3-0,Harrison Butker 36 yard field goal no good,0,2.25,-0.67,-2.92
2019-09-29,Seahawks,Cardinals,1,5:03,4,10,CRD 15,0-3,Jason Myers 33 yard field goal good,0,2.44,3,0.56
2019-09-29,Cowboys,Saints,1,5:13,4,9,NOR 10,0-3,Brett Maher 28 yard field goal good,0,2.76,3,0.24
2019-09-29,Panthers,Texans,1,2:28,4,5,HTX 30,0-3,Joey Slye 48 yard field goal good,0,1.45,3,1.55
2019-09-29,Jaguars,Broncos,1,3:16,4,6,DEN 7,7-3,Josh Lambo 25 yard field goal good,0,2.98,3,0.02
2019-09-29,Texans,Panthers,2,13:40,4,6,CAR 34,0-3,Ka'imi Fairbairn 52 yard field goal no good,0,1.07,-1.73,-2.8
2019-09-29,Saints,Cowboys,2,15:00,4,18,DAL 22,3-3,Wil Lutz 40 yard field goal good,0,1.99,3,1.01
2019-09-29,Cardinals,Seahawks,2,13:54,4,5,SEA 15,3-10,Zane Gonzalez 33 yard field goal good,0,2.49,3,0.51
2019-09-29,Chiefs,Lions,2,14:16,4,5,DET 5,10-3,Harrison Butker 23 yard field goal good,0,3.01,3,-0.01
2019-09-29,Dolphins,Chargers,2,11:15,4,12,SDG 12,10-10,Jason Sanders 30 yard field goal good,0,2.63,3,0.37
2019-09-29,Saints,Cowboys,2,8:46,4,16,DAL 24,6-3,Wil Lutz 42 yard field goal good,0,1.87,3,1.13
2019-09-29,Texans,Panthers,2,8:03,4,9,CAR 19,3-3,Ka'imi Fairbairn 37 yard field goal good,0,2.18,3,0.82
2019-09-29,Titans,Falcons,2,10:07,4,3,ATL 27,7-17,Cairo Santos 45 yard field goal good,0,1.77,3,1.23
2019-09-29,Cardinals,Seahawks,2,7:43,4,8,SEA 30,3-17,Zane Gonzalez 48 yard field goal no good,0,1.41,-1.47,-2.88
2019-09-29,Colts,Raiders,2,7:37,4,8,RAI 8,10-21,Adam Vinatieri 26 yard field goal good,0,2.95,3,0.05
